1031-2409A	2263 Spring Creek Rd	Bainbridge	GA	39817	Decatur	December 3, 2019
1031-2411A	7245 Hickory Bluff Drive	Cumming	GA	30040	Forsyth	December 3, 2019	View on Auction.com
1031-2430A	308 Webb Circle	Metter	GA	30439	Candler	December 3, 2019
1031-2433A	45 Alexandria Drive	Dallas	GA	30157	Paulding	December 3, 2019
1031-2439A	74 Hamilton Grove Drive	Pooler	GA	31322	Chatham	December 3, 2019	View on Auction.com
1031-2440A	5433 Mayfair Crossing Drive	Lithonia	GA	30038	Dekalb	December 3, 2019	View on Auction.com
1031-2445A	2526 Inverness Drive	Hephzibah	GA	30815	Richmond	December 3, 2019
1017-3664A	325 Maddox Mills Road	Dalton	GA	30721	Whitfield	December 3, 2019	View on Auction.com
1017-3686A	112 Stoneview Drive SW	Lilburn	GA	30047	Gwinnett	December 3, 2019	View on Auction.com
1017-3691A	1943 Causton Bluff Road	Savannah	GA	31404	Chatham	December 3, 2019	View on Auction.com
1017-3694A	4578 Ashlyn Rebecca Drive	Snellville	GA	30039	Gwinnett	December 3, 2019	View on Auction.com
1017-3700A	111 Bridgemont Way	Hinesville	GA	31313	Liberty	December 3, 2019	View on Auction.com
1017-3701A	2222 Cinder Landing Court	Savannah	GA	31406	Chatham	December 3, 2019	View on Auction.com
1017-577A	3810 Piney Bluff Rd.	Baxley	GA	31513	Appling	December 3, 2019	View on Auction.com
1031-2294A	805 Lake Mist Cove	Alpharetta	GA	30004	Fulton	December 3, 2019
1031-2315A	2306 Roundup Dr	Hephzibah	GA	30815	Richmond	December 3, 2019
1017-3639A	4725 Jamerson Forest Cir	Marietta	GA	30066	Cobb	December 3, 2019	View on Auction.com
1017-3644A	3104 Linsley Court	Conyers	GA	30094	Rockdale	December 3, 2019	View on Auction.com
1017-3646A	192 Waterdam Way	Tunnel Hill	GA	30755	Whitfield	December 3, 2019
1017-3647A	322 Clark St	Midway	GA	31320	Liberty	December 3, 2019	View on Auction.com
1017-3649A	287 South College Street	Pembroke	GA	31321	Bryan	December 3, 2019	View on Auction.com
1017-3652A	215 Tanglewood Drive	Warner Robins	GA	31093	Houston	December 3, 2019	View on Auction.com
1017-3656A	3 Hilltop Way	Toccoa	GA	30577	Stephens	December 3, 2019	View on Auction.com
1017-3660A	150 Glynnshire Ct	Covington	GA	30016	Newton	December 3, 2019	View on Auction.com
1017-3662A	109 Red Bay Court	Leesburg	GA	31763	Lee	December 3, 2019	View on Auction.com
1017-3606A	116 Monticello Drive	Byron	GA	31008	Houston	December 3, 2019	View on Auction.com
1017-3610A	3665 Barrow Place Sw	Atlanta	GA	30331	Fulton	December 3, 2019	View on Auction.com
1017-3615A	604 Westbridge Road	Fairburn	GA	30213	Fayette	December 3, 2019	$89,250.00
1017-3624A	384 Richter Road	Cairo	GA	39827	Grady	December 3, 2019	View on Auction.com
1017-3628A	852 Sturdivant Estates	Summerville	GA	30747	Chattooga	December 3, 2019	$152,000.00
1017-3629A	7725 Wickley Way	Dunwoody	GA	30350	Fulton	December 3, 2019	$564,000.00
1017-3630A	6353 Pawleys Isle	Lithonia	GA	30058	Dekalb	December 3, 2019	View on Auction.com
1017-3631A	6060 Orchard Road	Douglasville	GA	30135	Douglas	December 3, 2019	View on Auction.com
1017-3635A	3921 Busby Mill Court	Ellenwood	GA	30294	Dekalb	December 3, 2019	View on Auction.com
1017-3569A	1544 Boulder Walk Way SE	Atlanta	GA	30316	Dekalb	December 3, 2019	View on Auction.com
1017-3571A	1255 Chinon Point	Lithonia	GA	30058	Dekalb	December 3, 2019	View on Auction.com
1017-3579A	2861 Callie Still Road	Lawrenceville	GA	30045	Gwinnett	December 3, 2019
1017-3585A	5280 Dawkins Spur	Valdosta	GA	31606	Lowndes	December 3, 2019	View on Auction.com
1017-3586A	918 N Pine St.	Rossville	GA	30741	Walker	December 3, 2019	View on Auction.com
1017-3588A	207 Longmeadow Dr Nw	Rome	GA	30165	Floyd	December 3, 2019	View on Auction.com
1017-3598A	3810 Stacy Drive	Macon	GA	31204	Bibb	December 3, 2019	View on Auction.com
1017-3600A	203 Farmbrook Parkway	Stockbridge	GA	30281	Henry	December 3, 2019	View on Auction.com
1017-3603A	1005 W Solomon Street	Griffin	GA	30223	Spalding	December 3, 2019	$33,000.00
1017-3396A	4075 Countryside Way	Snellville	GA	30039	Gwinnett	December 3, 2019	View on Auction.com
1017-3442A	365 Sunset Road	Columbus	GA	31904	Muscogee	December 3, 2019	$400,400.00
1017-3527A	8286 Belton Bridge Road	Lula	GA	30554	Hall	December 3, 2019	View on Auction.com
1017-3554A	30 Autumn Ct	Covington	GA	30016	Newton	December 3, 2019	View on Auction.com
1017-3555A	1514 Rosewood Drive	Savannah	GA	31406	Chatham	December 3, 2019	View on Auction.com
1017-3558A	1112 Bonita Circle	Jonesboro	GA	30238	Clayton	December 3, 2019	View on Auction.com
1012-12745A	6146 Dana Court	Lithonia	GA	30058	Dekalb	December 3, 2019
1012-12750A	1195 Spalding Drive	Atlanta	GA	30350	Fulton	December 3, 2019
1012-12787A	120 Tomkins Creek Tr	Forsyth	GA	31029	Monroe	December 3, 2019
