01/07/2020	QKN-18-05196-3	2800 Gunnersbury Ct	Cumming	30041	Forsyth	Go to Auction.com
01/07/2020	SEF-19-06157-1	5225 Pisgah Rd	Cumming	30028	Forsyth	Not Available
01/07/2020	CBN-19-07164-1	5720 Mountain Top Place	Cumming	30041	Forsyth	$153,811.50
01/07/2020	BVF-18-03405-12	409 Lumpkin St Nka 222 Lumpkin St	Cuthbert	39840	Randolph	Not Available
01/07/2020	FAY-19-06368-1	111 Magazine St	Dallas	30157	Paulding	$108,075.79
01/07/2020	LNC-19-05363-1	2828 Grove Level Dr	Dalton	30721	Whitfield	Go to Auction.com
01/07/2020	SHP-19-06779-1	2904 Vine Dr	Dalton	30721	Whitfield	Go to Auction.com
01/07/2020	SPS-18-08155-1	3346 Creekway Drive	Decatur	30034	DeKalb	Go to Auction.com
01/07/2020	RMS-19-06355-1	3382 Lark Ln	Decatur	30032	DeKalb	Go to Auction.com
01/07/2020	MTB-16-00798-30	4250 Harvest Hill Ct	Decatur	30034	DeKalb	Go to Auction.com
01/07/2020	RMU-19-05087-4	4333 Dogwood Trace	Decatur	30034	DeKalb	Not Available
01/07/2020	SPS-14-01241-37	6395 Queensdale Drive	Douglasville	30135	Douglas	Go to Auction.com
01/07/2020	PNY-18-04954-3	6861 John Clark Dr	Douglasville	30134	Douglas	Go to Auction.com
01/07/2020	TMS-19-00664-6	9917 Mancunian Way W	Douglasville	30135	Douglas	Go to Auction.com
01/07/2020	QKN-19-06869-1	5564 Roberts Dr	Dunwoody	30338	DeKalb	Go to Auction.com
01/07/2020	QKN-19-05575-2	1067 Elm St	Elberton	30635	Elbert	Go to Auction.com
01/07/2020	PHL-19-06215-1	424 Midway Pointe	Ellenwood	30294	Henry	Not Available
01/07/2020	NAT-19-06749-1	5771 Village Loop	Fairburn	30213	Fulton	Go to Xome.com
01/07/2020	BVF-19-06520-1	3835 Bolding Rd	Flowery Branch	30542	Hall	Not Available
01/07/2020	BVF-18-00420-14	6374 Flat Rock Drive	Flowery Branch	30542	Hall	Not Available
01/07/2020	SPS-19-03080-7	1744 S River Rd	Franklin	30217	Heard	Go to Auction.com
01/07/2020	MTB-19-06795-1	3724 Lexington Ct	Gainesville	30504	Hall	Go to Auction.com
01/07/2020	QKN-18-06137-3	6417 Honeysuckle Ln	Gainesville	30506	Hall	Not Available
01/07/2020	QKN-19-04365-2	410 Fawnbrook Cir	Griffin	30223	Spalding	Go to Auction.com
01/07/2020	FREM-19-06580-1	1542 Baldwin Lakes Dr	Grovetown	30813	Columbia	Go to Xome.com
01/07/2020	BAC-19-06200-1	1716 Pitchwood Way	Hephzibah	30815	Richmond	Go to Auction.com
01/07/2020	CBN-19-06044-1	105 Monroe Avenue	Hinesville	31313	Liberty	Not Available
01/07/2020	FAY-19-07102-1	1403 Crawford Ct	Hinesville	31313	Liberty	$93,000.00
01/07/2020	LNC-19-04969-1	1480 Flo Zechman Drive	Hinesville	31313	Liberty	Not Available
01/07/2020	CBN-19-06153-2	163 Grandview Drive	Hinesville	31313	Liberty	Not Available
01/07/2020	MID-19-03387-8	218 Thiess Branch Dr	Hinesville	31313	Liberty	Not Available
01/07/2020	KCP-12-05707-5	422 Willow Oak Lane	Hinesville	31313	Liberty	Not Available
01/07/2020	LNC-19-06757-1	1533 Thornwood Ct	Jonesboro	30236	Clayton	Go to Auction.com
01/07/2020	CMS-19-00659-1	1589 Pintail Rd	Jonesboro	30238	Clayton	Not Available
01/07/2020	SBC-18-05267-14	3019 Saint Andrews Ct	Jonesboro	30236	Clayton	Go to Auction.com
01/07/2020	BAC-18-04260-2	9200 Brave Ct	Jonesboro	30236	Clayton	Go to Auction.com
01/07/2020	BVF-18-07848-2	3815 Etheridge Pl Nw	Kennesaw	30144	Cobb	Not Available
01/07/2020	MTB-19-06799-1	1690 Chase Ridge Lane	Lawrenceville	30043	Gwinnett	Go to Auction.com
01/07/2020	DMI-19-02234-10	1932 Sugarstone Drive	Lawrenceville	30043	Gwinnett	Not Available
01/07/2020	BVF-18-01015-12	961 Aspen Dr	Lithia Springs	30122	Douglas	Not Available
01/07/2020	CMS-18-02394-17	3114 Rockview Dr	Lithonia	30038	DeKalb	Not Available
01/07/2020	SPS-18-04944-8	3715 Wolverton Circle	Lithonia	30038	DeKalb	Not Available
01/07/2020	BVF-18-05103-11	4985 River Overlook Way	Lithonia	30038	DeKalb	Not Available
01/07/2020	LNC-19-04748-1	9197 Hopewell Rd	Lizella	31052	Bibb	Go to Auction.com
01/07/2020	BVF-17-04067-9	572 Bradford Pl Ct	Loganville	30052	Gwinnett	Not Available
01/07/2020	SHP-19-06950-1	6616 Destiny Dr	Mableton	30126	Cobb	Go to Auction.com
01/07/2020	SHP-19-00037-1	1679 Twin Pines Drive	Macon	31211	Bibb	Go to Auction.com
01/07/2020	QKN-19-07206-1	2071 Pine Hill Dr	Macon	31217	Bibb	Not Available
01/07/2020	SHP-14-04756-8	719 Skyline Drive	Madison	30650	Morgan	Go to Auction.com
01/07/2020	MTB-19-02555-2	1633 Caswell Pkwy	Marietta	30060	Cobb	Go to Auction.com
01/07/2020	BVF-19-06715-1	1967 Hamilton Pl	Marietta	30067	Cobb	Not Available
01/07/2020	SNS-19-01326-8	2363 Monte Villa Courts	Marietta	30062	Cobb	Not Available
01/07/2020	SHP-19-06955-1	4058 Ne Longford Dr	Marietta	30066	Cobb	Go to Auction.com
01/07/2020	AMI-19-06371-3	6410 Winston Trace	Mcdonough	30252	Henry	Not Available
01/07/2020	PNY-19-05301-2	10 Colonial Dr	Midway	31320	Liberty	Not Available
